년도,축제이름,지역,검색량_비율,,,,,,,,
2018,강경젓갈축제,전라북도,100,,,,,,,,
2018,강경젓갈축제,충청북도,10,,,,,,,,
2018,강경젓갈축제,대구광역시,100,,,,,,,,
2018,강경젓갈축제,부산광역시,54,,,,,,,,
2018,강경젓갈축제,경상북도,51,,,,,,,,
2018,강경젓갈축제,경기도,45,,,,,,,,
2018,강경젓갈축제,서울특별시,42,,,,,,,,
2018,강경젓갈축제,경상남도,100,,,,,,,,
2019,강경젓갈축제,충청남도,47,,,,,,,,
2019,강경젓갈축제,대전광역시,80,,,,,,,,
2019,강경젓갈축제,전라북도,100,,,,,,,,
2019,강경젓갈축제,충청북도,10,,,,,,,,
2019,강경젓갈축제,대구광역시,100,,,,,,,,
2019,강경젓갈축제,부산광역시,54,,,,,,,,
2019,강경젓갈축제,경상북도,51,,,,,,,,
2019,강경젓갈축제,경기도,45,,,,,,,,
2019,강경젓갈축제,서울특별시,42,,,,,,,,
2019,강경젓갈축제,경상남도,100,,,,,,,,
2020,강경젓갈축제,충청남도,47,,,,,,,,
2020,강경젓갈축제,대전광역시,80,,,,,,,,
2020,강경젓갈축제,전라북도,100,,,,,,,,
2020,강경젓갈축제,충청북도,10,,,,,,,,
2020,강경젓갈축제,대구광역시,100,,,,,,,,
2020,강경젓갈축제,부산광역시,54,,,,,,,,
2020,강경젓갈축제,경상북도,51,,,,,,,,
2020,강경젓갈축제,경기도,45,,,,,,,,
2020,강경젓갈축제,서울특별시,42,,,,,,,,
2020,강경젓갈축제,경상남도,100,,,,,,,,
2021,강경젓갈축제,충청남도,47,,,,,,,,
2021,강경젓갈축제,대전광역시,80,,,,,,,,
2021,강경젓갈축제,전라북도,100,,,,,,,,
2021,강경젓갈축제,충청북도,10,,,,,,,,
2021,강경젓갈축제,대구광역시,100,,,,,,,,
2021,강경젓갈축제,부산광역시,54,,,,,,,,
2021,강경젓갈축제,경상북도,51,,,,,,,,
2021,강경젓갈축제,경기도,45,,,,,,,,
2021,강경젓갈축제,서울특별시,42,,,,,,,,
2021,강경젓갈축제,경상남도,100,,,,,,,,
2022,강경젓갈축제,충청남도,47,,,,,,,,
2022,강경젓갈축제,대전광역시,80,,,,,,,,
2022,강경젓갈축제,전라북도,100,,,,,,,,
2022,강경젓갈축제,충청북도,10,,,,,,,,
2022,강경젓갈축제,대구광역시,100,,,,,,,,
2022,강경젓갈축제,부산광역시,54,,,,,,,,
2022,강경젓갈축제,경상북도,51,,,,,,,,
2022,강경젓갈축제,경기도,45,,,,,,,,
2022,강경젓갈축제,서울특별시,42,,,,,,,,
2022,강경젓갈축제,경상남도,100,,,,,,,,
2023,강경젓갈축제,충청남도,47,,,,,,,,
2023,강경젓갈축제,대전광역시,80,,,,,,,,
2023,강경젓갈축제,전라북도,100,,,,,,,,
2023,강경젓갈축제,충청북도,10,,,,,,,,
2023,강경젓갈축제,대구광역시,100,,,,,,,,
2023,강경젓갈축제,부산광역시,54,,,,,,,,
2023,강경젓갈축제,경상북도,51,,,,,,,,
2023,강경젓갈축제,경기도,45,,,,,,,,
2023,강경젓갈축제,서울특별시,42,,,,,,,,
2023,강경젓갈축제,경상남도,100,,,,,,,,
2024,강경젓갈축제,충청남도,47,,,,,,,,
2024,강경젓갈축제,대전광역시,80,,,,,,,,
2024,강경젓갈축제,전라북도,100,,,,,,,,
2024,강경젓갈축제,충청북도,10,,,,,,,,
2024,강경젓갈축제,대구광역시,100,,,,,,,,
2024,강경젓갈축제,부산광역시,54,,,,,,,,
2024,강경젓갈축제,경상북도,51,,,,,,,,
2024,강경젓갈축제,경기도,45,,,,,,,,
2024,강경젓갈축제,서울특별시,42,,,,,,,,
2024,강경젓갈축제,경상남도,100,,,,,,,,
2004,괴산고추축제,충청남도,6,,,,,,,,
2004,괴산고추축제,대전광역시,,,,,,,,,
2004,괴산고추축제,전라북도,,,,,,,,,
2004,괴산고추축제,충청북도,90,,,,,,,,
2004,괴산고추축제,대구광역시,,,,,,,,,
2004,괴산고추축제,부산광역시,46,,,,,,,,
2004,괴산고추축제,경상북도,49,,,,,,,,
2004,괴산고추축제,경기도,39,,,,,,,,
2004,괴산고추축제,서울특별시,43,,,,,,,,
2004,괴산고추축제,경상남도,,,,,,,,,
2005,괴산고추축제,충청남도,6,,,,,,,,
2005,괴산고추축제,대전광역시,,,,,,,,,
2005,괴산고추축제,전라북도,,,,,,,,,
2005,괴산고추축제,충청북도,90,,,,,,,,
